## file created 06.Feb.2017 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4528500D  20   9   u    0       0          7              1      HE    20    13      2
 4518540D  20   9   u    0       0          7              2      HE    21    13      1
 45284C0E  20   9   u    0       0          8              0      HE    19    14      2
 4518500E  20   9   u    0       0          8              1      HE    20    14      1
 4528580D  20   9   u    0       0          8              2      HE    22    13      2
 45184C0E  20   9   u    0       0          9              0      HE    19    14      1
 4528500E  20   9   u    0       0          9              1      HE    20    14      2
 4518580D  20   9   u    0       0          9              2      HE    22    13      1
 43182C0F  20  10   u    0       0         14              0      HB    11    15      1
 43181C0F  20  10   u    0       0         14              1      HB     7    15      1
 43180C0F  20  10   u    0       0         14              2      HB     3    15      1
 4318140F  20  10   u    0       0         15              0      HB     5    15      1
 4318040F  20  10   u    0       0         15              1      HB     1    15      1
 4318240F  20  10   u    0       0         15              2      HB     9    15      1
 43182C10  20  10   u    0       0         16              0      HB    11    16      1
 43181C10  20  10   u    0       0         16              1      HB     7    16      1
 43180C10  20  10   u    0       0         16              2      HB     3    16      1
 43181410  20  10   u    0       0         17              0      HB     5    16      1
 43180410  20  10   u    0       0         17              1      HB     1    16      1
 43182410  20  10   u    0       0         17              2      HB     9    16      1
 4318280F  20  10   u    0       0         18              0      HB    10    15      1
 4318180F  20  10   u    0       0         18              1      HB     6    15      1
 4318080F  20  10   u    0       0         18              2      HB     2    15      1
 4318200F  20  10   u    0       0         19              0      HB     8    15      1
 4318100F  20  10   u    0       0         19              1      HB     4    15      1
 4318300F  20  10   u    0       0         19              2      HB    12    15      1
 43182810  20  10   u    0       0         20              0      HB    10    16      1
 43181810  20  10   u    0       0         20              1      HB     6    16      1
 43180810  20  10   u    0       0         20              2      HB     2    16      1
